sId;sTeamOp;sTeamAw;sTeamBx;sTeamMk;sTeamSn;sTeamTs
f0001;2 de Mayo;;;;;
f0002;A. Klagenfurt;;;;;
f0003;Aalborg;;;;;Aalborg
f0004;Aarau;;;;;Aarau
f0005;Aarhus;;;;;
f0006;Abu Qir Semad;;;;;
f0007;AC Milan;AC Milan;AC Milan;;;AC Milan
f0008;Academico Viseu;;;;;Academico Viseu
f0009;Academico Viseu U23;;;;;
f0010;AD Merida;;;;;Mérida
f0011;AD Tarma;;;;;
f0012;Adama City;;;;;
f0013;Adamstown Rosebud;;;;;
f0014;Adelaide United;;;;;
f0015;Admira;;;;;
f0016;AE Altos;;;;;
f0017;AEK Athens;AEK Athens;;;;AEK Athens
f0018;AEK Larnaca;;AEK Larnaca;;;AEK Larnaca
f0019;Afturelding;;;;;
f0020;Agua Santa;;;;;
f0021;Aguia De Maraba;;;;;
f0022;Aguila;;;;;Aguila
f0023;Aguilas FC;;Aguilas FC;;;
f0024;AIK;AIK;AIK;;;AIK Stockholm
f0025;Airbus;;;;;
f0026;Airdrieonians;;;;;Airdrieonians
f0027;Ajka;;;;;Ajka
f0028;Ajman;;;;;
f0029;Akranes;;;;;
f0030;Al Adalah;;;;;
f0031;Al Ahli Doha;;;;;
f0032;Al Ahli SC;;;;;Al Ahli SC
f0033;Al Ain;;;;;Al Ain
f0034;Al Arabi;;;;;Al Arabi SC (KAT)
f0035;Al Bataeh;;;;;Al Bataeh
f0036;Al Buqaa;;;;;
f0037;Al Dhafra;;;;;
f0038;Al Diriyah;;;;;
f0039;Al Ettifaq;;;;;Al Ettifaq
f0040;Al Fateh;;;;;
f0041;Al Fayha;;;;;Al Feiha
f0042;Al Fujairah;;;;;
f0043;Al Gharraf;;;;;
f0044;Al Hamriyah;;;;;
f0045;Al Hazem;;;;;Al Hazem
f0046;Al Hilal;;;;;Al Hilal
f0047;Al Hussein;;;;;
f0048;Al Ittihad;;;;;
f0049;Al Jazeera Amman;;;;;
f0050;Al Jazira;;;;;
f0051;Al Jazira Hamra;;;;;
f0052;Al Khaleej;;;;;
f0053;Al Masry;;;;;
f0054;Al Nahda;;;;;
f0055;Al Najma;;;;;
f0056;Al Nasr;;;;;
f0057;Al Nassr;;;;;Al Nassr
f0058;Al Qanah;;;;;
f0059;Al Ramtha;;;;;
f0060;Al Rayyan;;;;;
f0061;Al Riyadh;;;;;
f0062;Al Salt;;;;;
f0063;Al Shabab;;;;;
f0064;Al Sharjah;;;;;
f0065;Al Shorta;;;;;
f0066;Al Taee;;;;;
f0067;Al Thaid;;;;;
f0068;Al Urooba;;;;;
f0069;Al Wahda;;;;;
f0070;Al Wakra;;;;;Al Wakra
f0071;Al Wasl;;;;;
f0072;Al Wasl U23;;;;;
f0073;Al Wehdat;;;;;
f0074;Al Zawraa;;;;;
f0075;Al Zulfi;;;;;
f0076;Alagoinhas;;;;;
f0077;Alajuelense;;;;;Alajuelense
f0078;Alashkert;;;;;
f0079;Alaves;;;;;Alavés
f0080;Albacete;;;;;Albacete
f0081;AlbinoLeffe;;;;;AlbinoLeffe
f0082;Albirex Niigata;;;;;
f0083;Alcorcon;;;;;Alcorcón
f0084;Aldershot;;;;;Aldershot
f0085;Al-Duhail;;;;;
f0086;Al-Faisaly;;;;;
f0087;Al-Faisaly Amman;;;;;
f0088;Algeciras;;;;;Algeciras
